test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s1,44662,3040,38,150,0.5,True,120,80,10000,0.1885178387165069,0.0371710526315789,0.0371710526315789,0.0317803002109193
s10,49080,3360,42,150,0.5,True,120,80,10000,0.1777301877737045,0.0431547619047619,0.0431547619047619,0.0379282791720521
s11,56542,3920,49,150,0.5,True,120,80,10000,0.3284087181091308,0.0765306122448979,0.0765306122448979,0.0579683559170167
s2,56542,3920,49,150,0.5,True,120,80,10000,0.3236417174339294,0.0221938775510204,0.0221938775510204,0.0175661309699668
s3,56640,3862,49,150,0.5,True,120,80,10000,10.84657859802246,0.0196789228379078,0.0193877551020408,0.002982335938182
s4,56542,3920,49,150,0.5,True,120,80,10000,0.239824041724205,0.0260204081632653,0.0260204081632653,0.0156693732148039
s5,56542,3920,49,150,0.5,True,120,80,10000,0.2721563577651977,0.0285714285714285,0.0285714285714285,0.0181600627635035
s6,56542,3920,49,150,0.5,True,120,80,10000,0.0746948048472404,0.0191326530612244,0.0191326530612244,0.0070734573930471
s7,56542,3920,49,150,0.5,True,120,80,10000,0.0245829802006483,0.0193877551020408,0.0193877551020408,0.0045631398788301
s8,56542,3920,49,150,0.5,True,120,80,10000,0.2239990979433059,0.0326530612244898,0.0326530612244898,0.0279863616066271
s9,56542,3920,49,150,0.5,True,120,80,10000,0.2652886807918548,0.0591836734693877,0.0591836734693877,0.0353582986277362
